time, body_vx, body_vy, body_vz, inertial_vx, inertial_vy, inertial_vz, phi, theta, psi
60127.14453125,5.7930763432523e-05,1.6893474139579e-06,-7.0736321504228e-05,-8.2351049059071e-05,2.9033053579042e-06,3.9652612031205e-05,0.017097979784012,0.99755334854126,204.95640563965
60127.16015625,5.6891680287663e-05,-6.3987413341238e-06,-6.7818378738593e-05,-8.0235215136781e-05,-5.2340851652843e-06,3.7574656744255e-05,0.017111856490374,0.99753379821777,204.95637512207
60127.17578125,5.3286756156012e-05,-1.1367280421837e-05,-6.4092804677784e-05,-7.5430318247527e-05,-1.0265682249155e-05,3.579756594263e-05,0.017123958095908,0.99751836061478,204.9563293457
60127.19140625,4.9685615522321e-05,-1.3459354704537e-05,-6.0485388530651e-05,-7.0658330514561e-05,-1.2419181985024e-05,3.4080218028976e-05,0.017131404951215,0.99750977754593,204.95628356934
60127.20703125,4.5159744331613e-05,-2.0732795746881e-05,-5.0646031013457e-05,-6.2455605075229e-05,-1.9861461623805e-05,2.7186248189537e-05,0.017134018242359,0.99751043319702,204.95623779297
60127.22265625,4.03719204769e-05,-2.1324593035388e-05,-4.0425620682072e-05,-5.3807365475222e-05,-2.0629660866689e-05,1.9951083231717e-05,0.017133697867393,0.9975158572197,204.95617675781
60127.23828125,3.5372850106796e-05,-1.8641387214302e-05,-2.8540553103085e-05,-4.4242206058698e-05,-1.8152270058636e-05,1.1243915650994e-05,0.017131762579083,0.99752390384674,204.95611572266
60127.25390625,3.1946179660736e-05,-1.3938818483439e-05,-2.0390230929479e-05,-3.766390364035e-05,-1.3591276001534e-05,5.2266896091169e-06,0.017130441963673,0.99752986431122,204.95606994629
60127.26953125,2.9386450478341e-05,-9.0245230239816e-06,-1.2261441042938e-05,-3.1879193556961e-05,-8.8184769992949e-06,-1.1401502888475e-06,0.017130628228188,0.99753618240356,204.95599365234
60127.28515625,2.8449165256461e-05,-5.4342740440916e-06,-5.9120552577951e-06,-2.8325484890956e-05,-5.3390303946799e-06,-6.5574704422033e-06,0.017132511362433,0.99754244089127,204.95593261719
60127.30078125,2.8583855964825e-05,-2.0740767467942e-06,7.9359062965523e-07,-2.5595016268198e-05,-2.0961265363439e-06,-1.274636360904e-05,0.017136566340923,0.99755036830902,204.95587158203
60127.31640625,2.9914293918409e-05,1.3345604656934e-06,9.8764639915316e-06,-2.2945481759962e-05,1.1534609711816e-06,-2.1595486032311e-05,0.017143772915006,0.99756121635437,204.95579528809
60127.33203125,3.1902283808449e-05,3.8810048863525e-06,2.3678408979322e-05,-1.8907479898189e-05,3.45862508766e-06,-3.4986143873539e-05,0.017152471467853,0.99757331609726,204.95571899414
60127.34765625,3.4513424907345e-05,4.8863585107028e-06,4.2797179048648e-05,-1.3202454283601e-05,4.1301668716187e-06,-5.3434898291016e-05,0.017163928598166,0.99758929014206,204.95565795898
